Treatment of Disease	In conclusion, @FORMULA@ exhibited preventive effects on irinotecan-induced @DISEASE@, and this action was associated with an inhibitory effect on intestinal apoptosis and beta-glucuronidase and a promotive effect on intestinal cell proliferation due to increased maintenance of ISCs.
Treatment of Disease	Our results indicate that @FORMULA@ has a protective effect on DSS-induced @DISEASE@, which is attributable to its anti-inflammatory activity and intestinal barrier function-enhancing effects.
Treatment of Disease	Preventive effect of Kampo medicine (@FORMULA@) against irinotecan-induced @DISEASE@ in advanced non-small-cell lung cancer.
Association	Preventive effect of Kampo medicine (@FORMULA@) against irinotecan-induced diarrhea in @DISEASE@.
Treatment of Disease	The clinical application of @FORMULA@ combined with conventional Western medicine in the treatment of @DISEASE@ and accompanying symptoms has clear efficacy and certain safety, so it is recommended for clinical application.
Treatment of Disease	Our results suggested that KLF4 may be the potential therapeutic target of @FORMULA@ for the treatment of @DISEASE@.
Treatment of Disease	The present study demonstrates that 2-year @FORMULA@ treatment early in the course of disease is effective in children with @DISEASE@ showing focal/minimal mesangial proliferation.
Treatment of Disease	CONCLUSIONS: These results validate traditional knowledge and suggest that @FORMULA@ may be potentially useful for managing @DISEASE@, hyperglycemia, hypertension, and obesity.
Treatment of Disease	CONCLUSIONS: These results validate traditional knowledge and suggest that @FORMULA@ may be potentially useful for managing hyperlipidemia, @DISEASE@, hypertension, and obesity.
Treatment of Disease	CONCLUSIONS: These results validate traditional knowledge and suggest that @FORMULA@ may be potentially useful for managing hyperlipidemia, hyperglycemia, @DISEASE@, and obesity.
Treatment of Disease	CONCLUSIONS: These results validate traditional knowledge and suggest that @FORMULA@ may be potentially useful for managing hyperlipidemia, hyperglycemia, hypertension, and @DISEASE@.
Treatment of Disease	In summary, @FORMULA@ interferes with the p38MAPK, NF-kappaB and STAT6 signaling pathways to regulate M1/M2 polarization in macrophages, thereby protecting mice against DSS-induced @DISEASE@.
Treatment of Disease	@FORMULA@ (YCHT), a classic Chinese herbal formula, is characterized by its strong therapeutic effects of liver regulation and relief of @DISEASE@, especially Yanghuang syndrome (YHS).
Treatment of Disease	Considering the metabolic process of bilirubin in vivo, the choleretic effect of @FORMULA@ is proven to be related to its regulatory action on expression of metabolic enzymes and transporters in @DISEASE@.
Treatment of Disease	These results suggest that at least a part of action mechanism of @FORMULA@ against OVA-sensitized @DISEASE@ in a mouse model is different from that of prednisolone.
Treatment of Disease	The results indicated that @FORMULA@ regulated the interaction between inflammatory DCs and gut microbiota to treat DSS-induced @DISEASE@.
Treatment of Disease	CONCLUSION/MAJOR FINDINGS: The results of this study demonstrated that @FORMULA@ is an effective herbal formulation in attenuation of @DISEASE@ in HFD-fed mice through alteration of gene expressions and modulation of intestinal microbiota.
Treatment of Disease	These findings suggest that timing of @FORMULA@ is crucial for preventing @DISEASE@ in mice with viral myocarditis.
Treatment of Disease	These findings suggest that timing of @FORMULA@ is crucial for preventing cardiac damage in mice with @DISEASE@.
Treatment of Disease	The therapeutic mechanism of @FORMULA@ likely enhanced adiponectin and endothelial progenitor cells, and up-regulation of peroxisome proliferator-activated receptor gamma might be responsible for @DISEASE@ diseases.
Cause of Side-effect	[Acute lymphoblastic leukemia complicated by type C hepatitis during treatment and further by @DISEASE@ due to @FORMULA@ in 7-year-old].
Association	[@DISEASE@ complicated by type C hepatitis during treatment and further by acute interstitial pneumonia due to @FORMULA@ in 7-year-old].
Association	[Acute lymphoblastic leukemia complicated by @DISEASE@ during treatment and further by acute interstitial pneumonia due to @FORMULA@ in 7-year-old].
